"Càmara de Comerç" "Cambra de Comerç"
"Viu a països" "Viu en països"
"Viu a hàbitats" "Viu en hàbitats"
"viuen a zones" "viuen en zones"
"viuen a boscos" "viuen en boscos"
"viuen a riuens" "viuen en riuens"
"viuen a llacs" "viuen en llacs"
"viuen a estanys" "viuen en estanys"
"viuen a regions" "viuen en regions"
"viuen a països" "viuen en països"
"viuen a hàbitats" "viuen en hàbitats"
"Viuen a zones" "Viuen en zones"
"Viuen a boscos" "Viuen en boscos"
"Viuen a riuens" "Viuen en riuens"
"Viuen a llacs" "Viuen en llacs"
"Viuen a estanys" "Viuen en estanys"
"Viuen a regions" "Viuen en regions"
"Viuen a països" "Viuen en països"
"Viuen a hàbitats" "Viuen en hàbitats"
"Real Decret" "Reial decret"
"Real decret" "Reial decret"
"real decret" "reial decret"
belicisme bel·licisme
"l'enclau" "l'enclavament"
"en una certa mesura" "en certa manera"
"En una certa mesura" "En certa manera"
"en una certa mida" "en certa manera"
"En una certa mida" "En certa manera"
"en bona mesura" "en bona part"
"en bona mida" "en bona part"
"en gran mesura" "en gran manera"
"en gran mida" "en gran manera"
"en certa mesura" "en certa manera"
"en certa mida" "en certa manera"
"En bona mesura" "En bona part"
"En bona mida" "En bona part"
"En gran mesura" "En gran manera"
"En gran mida" "En gran manera"
"En certa mesura" "En certa manera"
"En certa mida" "En certa manera"
"l’eradicació" "l’erradicació"
"l'eradicació" "l'erradicació"
eradicant erradicant
eradicada erradicada
eradicarien erradicarien
eradicaria erradicaria
eradicacions erradicacions
eradicava erradicava
"s'eradicava" "s'erradicava"
"s'eradicà" "s'erradicà"
eradicat erradicat
"S'eradiquen" "S'erradiquen"
eradiquessin erradiquessin
eradicaran erradicaran
"s'eradiquin" "s'erradiquin"
"s'eradiqués" "s'erradiqués"
"d’eradicació" "d’erradicació"
"el suficientment" "prou"
"en menor mesurada" "en menor mesura"
"en major mesurada" "en major mesura"
"en gran mesurada" "en gran mesura"
"en cas de que" "en cas que"
"En cas de que" "En cas que"
seveix serveix
seveixen serveixen
paissos països
precició precisió
Precició Precisió
"com a molt tard" "a tot tardar"
"dels hematies" "de les hematies"
"els hematies" "les hematies"
"matèria prima" "matèria primera"
"matèries primes" "matèries primeres"
"posta en escena" "posada en escena"
"posta en marxa" "posada en marxa"
"Posta en marxa" "Posada en marca"
"Posta en escena" "Posada en escena"
eradicà erradicà
eradicaren erradicaren
Eradicà Erradicà
eradica erradica
Eradicar Erradicar
eradicat erradicat
eradicats erradicats
eradicada erradicada
eradicades erradicades
eradiqués erradiqués
eradiquin erradiquin
"d'eradicar" "d'erradicar"
Eradicaren Erradicaren
"eradicar" "erradicar"
eradicació erradicació
Eradicació Erradicació
"l'eradicació" "l'erradicació"
"l'Eradicació" "l'Erradicació"
"L'eradicació" "L'erradicació"
"d'eradicació" "d'erradicació"
"d'Eradicació" "d'Erradicació"
"costarriqueny" "costa-riqueny"
"costarriquenya" "costa-riquenya"
"costarriquenys" "costa-riquenys"
"costarriquenyes" "costa-riquenyes"
"entre les quals s'hi troben" "entre les quals es troben"
"entre els quals s'hi troben" "entre els quals es troben"
"s'exté" "s'estén"
"s'extén" "s'estén"
"S'extén" "S'estén"
"S'exté" "S'estén"
"creuar el riu" "travessar el riu"
"creuar la frontera" "travessar la frontera"
"creuar la via" "travessar la via"
"creuar el camí" "travessar el camí"
"creuar la carretera" "travessar la carretera"
"creuar l'autopista" "travessar l'autopista"
"la seva residencia" "la seva residència"
bióleg biòleg
nidada niuada
nidades niuades
nidadas niuades
"Compta amb tot tipus de" "Disposa de tota mena de"
assessí assasí
assessins assassins
assessinat assassinat
Assessinat Assassinat
"és caracteritza" "es caracteritza"
"És caracteritza" "Es caracteritza"
"va ser construida" "va ser construïda"
"va ser construit" "va ser construït"
"es troba situat" "està situat"
"es troba situada" "està situada"
"es troben situats" "estan situats"
"es troben situades" "estan situades"
"Es troba situat" "Està situat"
"Es troba situada" "Està situada"
"Es troben situats" "Estan situats"
"Es troben situades" "Estan situades"
"Es troba enclavat" "Està enclavat"
"es troba enclavat" "està enclavat"
"Es troba enclavada" "Està enclavada"
"es troba enclavada" "està enclavada"
"es troben enclavades" "estan enclavades"
"un aigua" "una aigua"
"un acta" "una acta"
"Un acta" "Una acta"
"un àguila" "una àguila"
"un ansa" "una ansa"
"un au" "una au"
"un aula" "una aula"
"un ànima" "una ànima"
Veugeu Vegeu
"Regna Sofia" "Reina Sofia"
"Romà Germànic" "Romanogermànic"
"Romà-Germànic" "Romanogermànic"
"Imperi romà germànic" "Imperi Romanogermànic"
paissatge paisatge
paissatges paisatges
Paissatge Paisatge
Paissatges Paisatges
"és considera" "es considera"
"És considera" "Es considera"
encarreg encàrrec
encàrreg encàrrec
Encàrreg Encàrrec
Encarreg Encàrrec
"la època" "l'època"
llargaria llargària
fotovoltàiques fotovoltaiques
fotovoltàica fotovoltaica
"l'inauguració" "la inauguració"
"L'inauguració" "La inauguració"
Contígua Contigua
contígua contigua
contígües contigües
contígues contigües
fenómen fenomen
"Galileu Galilei" "Galileo Galilei"
"de per si mateix" "per si mateix"
"de per si mateixa" "per si mateixa"
"de per si mateixos" "per si mateixos"
"de per si mateixes" "per si mateixes"
infromació informació
Infromació Informació
altostrat altoestrat
altostrats altoestrats
angiospasme angioespasme
angiospasmes angioespasmes
angiospasmòdic angioespasmòdic
angiospasmòdica angioespasmòdica
angiospasmòdics angioespasmòdics
angiospasmòdiques angioespasmòdiques
arteriosclerosi arterioesclerosi
arterioscleròtic arterioescleròtic
arterioscleròtica arterioescleròtica
arterioscleròtics arterioescleròtics
arterioscleròtiques arterioescleròtiques
arteriospasme arterioespasme
arteriospasmes arterioespasmes
astable anestable
astables anestables
bacterioestàtic bacteriostàtic
bacterioestàtica bacteriostàtica
bacterioestàtics bacteriostàtics
bacterioestàtiques bacteriostàtiques
biospeleologia bioespeleologia
biostratigrafia bioestratigrafia
biostratigràfic bioestratigràfic
biostratigràfica bioestratigràfica
biostratigràfics bioestratigràfics
biostratigràfiques bioestratigràfiques
broncospirometria broncoespirometria
cardiospasme cardioespasme
cardiospasmes cardioespasmes
cirrostrat cirroestrat
cirrostrats cirroestrats
citosquelet citoesquelet
citosquelets citoesquelets
citoestàtic citostàtic
citoestàtica citostàtica
citoestàtics citostàtics
citoestàtiques citostàtiques
corticosteroide corticoesteroide
corticosteroides corticoesteroides
cronostratigrafia cronoestratigrafia
cronostratigràfic cronoestratigràfic
cronostratigràfica cronoestratigràfica
cronostratigràfics cronoestratigràfics
cronostratigràfiques cronoestratigràfiques
dermatosquelet dermatoesquelet
dermatosquelets dermatoesquelets
electrostàtic electroestàtic
electrostàtica electroestàtica
electrostàtics electroestàtics
electrostàtiques electroestàtiques
endosquelet endoesquelet
endosquelets endoesquelets
exosquelet exoesquelet
exosquelets exoesquelets
feldspat feldespat
feldspats feldespats
feldspàtic feldespàtic
feldspàtics feldespàtics
feldspàtica feldespàtica
feldspàtiques feldespàtiques
feldspatoides feldespatoides
feldspatoídic feldespatoídic
geostacionari geoestacionari
geostacionaris geoestacionaris
geostacionària geoestacionària
geostacionàries geoestacionàries
grafospasme grafoespasme
grafostàtica grafoestàtica
hidrostàtic hidroestàtic
hidrostàtica hidroestàtica
hidrostàtics hidroestàtics
hidrostàtiques hidroestàtiques
isospín isoespín
litostratigrafia litoestratigrafia
magnetostàtic magnetoestàtic
magnetostàtica magnetoestàtica
magnetostàtics magnetoestàtics
magnetostàtiques magnetoestàtiques
magnetostratigrafia magnetoestratigrafia
metastable metaestable
metastables metaestables
micasquist micaesquist
micasquists micaesquists
monostable monoestable
monostables monoestables
neurosquelet neuroesquelet
neurosquelets neuroesquelets
nimbostrat nimboestrat
nimbostrats nimboestrats
ortoestàtic ortostàtic
ortoestàtica ortostàtica
ortoestàtics ortostàtics
ortoestàtiques ortostàtiques
sismostratigrafia sismoestratigrafia
talcosquist talcoesquist
talcosquists talcoesquists
termostable termoestable
termostables termoestables
tuberculoestàtic tuberculostàtic
tuberculoestàtics tuberculostàtics
tuberculoestàtica tuberculostàtica
tuberculoestàtiques tuberculostàtiques
"franco-flamenc" francoflamenc
"franco-flamencs" francoflamencs
"franco-flamenca" francoflamenca
"franco-flamenques" francoflamenques
subtitolat subtitulat
subtitolats subtitulats
subtitolada subtitulada
subtitolades subtitulades
subtitolar subtitular
carrilló carilló
Carrilló Carilló
nomeclatura nomenclatura
Nomeclatura Nomenclatura
poseeïx posseeix
"poseeïx" "posseeix"
poseïr posseir
Poseïr Posseir
viatgar viatjar
"el estat" "l'estat"
"El estat" "L'estat"
"el Estat" "l'Estat"
"El Estat" "L'Estat"
"anti aeri" antiaeri
"anti aeris" antiaeris
"anti aèria" antiaèria
"anti aèries" antiaèries
"anti-aeri" antiaeri
"anti-aeris" antiaeris
"anti-aèria" antiaèria
"anti-aèries" antiaèries
"cèl·la" "cel·la"
"Cèl·la" "Cel·la"
galardonat guardonat
galardonats guardonats
galardonades guardonades
"va ser galardonada" "va ser guardonada"
"fou galardonada" "fou guardonada"
"col\.legi" "col·legi"
"Col\.legi" "Col·legi"
"películes" "pel·lícules"
"Películes" "Pel·lícules"
produiex produeix
Produiex Produeix
depenents dependents
naixament naixement
"anàlisi comparatiu" "anàlisi comparativa"
"Anàlisi comparatiu" "Anàlisi comparativa"
pòlvora pólvora
pòlvores pólvores
solicitaren sol·licitaren
solicità sol·licità
"Va solicitar" "Va sol·licitar"
"va dónar" "va donar"
"van dónar" "van donar"
"de dónar" "de donar"
fraticida fratricida
fraticides fratricides
Fraticida Fratricida
Fraticides Fratricides
"per vegada primera" "per primera vegada"
"patrimoni nét" "patrimoni net"
"\b([Ee]l)·l(abor[àaeéi].+)\b" "\1\2" "el·laborar"
"s'instal·les" "s'instal·lés"
Reificació Reïficació
reificació reïficació
"així hi tot" "així i tot"
"Així hi tot" "Així i tot"
"Tot hi això" "Tot i això"
"tot hi això" "tot i això"
"lusità-brasiler" lusobrasiler
"lusità-brasilers" lusobrasilers
"lusità-brasilera" lusobrasilera
"lusità-brasileres" lusobrasileres
conreuada conreada
conreuat conreat
conreuats conreats
conreuades conreades
enfrentament enfrontament
Enfrentament Enfrontament
enfrentaments enfrontaments
"rendir comptes" "retre comptes"
"càmeres de combustió" "cambres de combustió"
"càmera de combustió" "cambra de combustió"
"Càmera de combustió" "Cambra de combustió"
"càmeres funeràries" "cambres funeràries"
"càmera funerària" "cambra funerària"
"càmeres subterrànies" "cambres subterrànies"
"càmera subterrània" "cambra subterrània"
"càmeres de gas" "cambres de gas"
"càmera de gas" "cambra de gas"
"per així dir-ho" "per dir-ho així"
estanqueïtat estanquitat
"aclaparant majoria" "majoria aclaparadora"
montícul monticle
Montícul Monticle
"Càmera de Representants" "Cambra de Representants"
nadiva nadiua
nadivament nadiuament
nadives nadiues
"got sanguini" "vas sanguini"
"gots sanguinis" "vasos sanguinis"
"gots comunicants" "vasos comunicants"
"got de precipitats" "vas de precipitats"
"Got de precipitats" "Vas de precipitats"
"de aquests" "d'aquests"
"soci-culturals" "socioculturals"
"soci-cultural" "sociocultural"
"soci-econòmics" "socioeconòmics"
"soci-econòmic" "socioeconòmic"
"soci-econòmiques" "socioeconòmiques"
"soci-econòmica" "socioeconòmica"
"soci-polítics" "sociopolítics"
"soci-polític" "sociopolític"
perpretada perpetrada
perpretat perpetrat
"persones empleades" "persones ocupades"
divesros diversos
divesres diverses
interdisciplinaritat interdisciplinarietat
"espai-temporals" "espaciotemporals"
"espai-temporal" "espaciotemporal"
deconstrucció desconstrucció
deconstruccions desconstruccions
escolpeix esculpeix
grabacions gravacions
grabació gravació
Grabacions Gravacions
Grabació Gravació
línees línies
Línees Línies
"buc insígnia" "vaixell insígnia"
"bucs insígnia" "vaixells insígnia"
"es conegut" "és conegut"
"es coneguda" "és coneguda"
"Es conegut" "És conegut"
"Es coneguda" "És coneguda"
"son coneguts" "són coneguts"
"son conegudes" "son conegudes"
"Son coneguts" "Són coneguts"
"Son conegudes" "Son conegudes"
perturbacions pertorbacions
"\[\[kelvin\|kelvins\]\]" "[[kelvin|kèlvins]]" "kelvins"
desrpés després
incià inicià
"s'incià" "s'inicià"
reflexen reflecteixen
altibaixos "alts i baixos"
epecialment especialment
Epecialment Especialment
adequen adeqüen
"s'adequen" "s'adeqüen"
construien construïen
súmament summament
sumament summament
supostament suposadament
sudcoreà sud-coreà
sudcoreans sud-coreans
sudcoreana sud-coreana
sudcoreanes sud-coreanes
nordcoreà nord-coreà
nordcoreans nord-coreans
nordcoreana nord-coreana
nordcoreanes nord-coreanes
Referencies Referències
posterorment posteriorment
Posterorment Posteriorment
situi situï
situin situïn
matitzar matisar
metgesa metgessa
destrosat destrossat
travesar travessar
"Ortega i Gasset" "Ortega y Gasset"
"la diòcesis" "la diòcesi"
"seva diòcesis" "seva diòcesi"
"La diòcesis" "La diòcesi"
seïsme sisme
Tantmateix Tanmateix
tantmateix tanmateix
"Tant mateix" Tanmateix
"tant mateix" tanmateix
"l'acces" "l'accés"
"\b([A]men)(ç[àa].*)\b" "\1a\2" "amençar"
escribí escriví
Escribí Escriví
egressat diplomat
egressats diplomats
egressada diplomada
pasant passant
"va anr" "va anar"
"van anr" "van anar"
"va escriura" "va escriure"
"l'invasió" "la invasió"
"ha respòs" "ha respost"
cancelaren cancel·laren
incluït inclòs
incluïts inclosos
incluïda inclosa
incluïdes incloses
"va cancelar" "va cancel·lar"
"van cancelar" "van cancel·lar"
"cancelat" "cancel·lat"
"cancelats" "cancel·lats"
"cancelades" "cancel·lades"
"paliatiu" "pal·liatiu"
"paliatives" "pal·liatives"
reexit reeixit
reexits reeixits
reexida reeixida
reexides reeixides
fluidesa fluïdesa
Fluidesa Fluïdesa
"per a conseguir" "per a aconseguir"
inciativa iniciativa
inciatives iniciatives
carerra carrera
Carerra Carrera
carerres carreres
Carerres Carreres
"([0-9\.,]+) Km\b" "\1 km" "\"Km\""
Llengüa Llengua
llengüa llengua
"s'inica" "s'inicia"
"Mig termini" "Mitjà termini"
collaboració col·laboració
collaboracions col·laboracions
pellícula pel·lícula
pellícules pel·lícules
independenment independentment
exisitit existit
"mig-centre" "mig centre"
reponsable responsable
reponsables responsables
intervàlic intervàl·lic
intervàlics intervàl·lics
intervàlica intervàl·lica
intervàliques intervàl·liques
"Sant Petesburg" "Sant Petersburg"
"requeriment tècnic" "requisit tècnic"
"requeriments tècnics" "requisits tècnics"
"Requeriment tècnic" "Requisit tècnic"
"Requeriments tècnics" "Requisits tècnics"
amercià americà
amercians americans
amerciana americana
amercianes americanes
poblema problema
poblemes problemes
"la regó" "la regió"
"al finals" "a finals"
"Al finals" "A finals"
"delsegle" "del segle"
ofical oficial
oficals oficials
Ofical Oficial
Gal·leria Galeria
gal·leria galeria
gal·leries galeries
Gal·leries Galeries
miríade miríada
"immiscuir-se" "immiscir-se"
relitzar realitzar
relitzaven realitzaven
relitzava realitzava
relitzà realitzà
Relitzà Realitzà
"d'autobus" "d'autobús"
"l'autobus" "l'autobús"
"L'autobus" "L'autobús"
"de debó" "de debò"
"estils mixte" "estils mixt"
"lliures mixte" "lliures mixt"
reconeixé reconegué
reconeixeren reconegueren
Reconeixeren Reconegueren
"\b([Rr]estri)(g[ie].+)\b" "\1n\2" "restrigir"
"així con" "així com"
tarificació tarifació
Tarificació Tarifació
Esglèsia Església
esglèsia església
"\b([Rr]ecom)e(n[aéàe].+)\b" "\1a\2" "recomenar"
mol·lècula molècula
mol·lècules molècules
Mol·lècula Molècula
Mol·lècules Molècules
besnet besnét
besneta besnéta
besnets besnéts
besnetes besnétes
Besnet Besnét
Besneta Besnéta
Besnets Besnéts
Besnetes Besnétes
"Sub-campió" "Subcampió"
"sub-campió" "subcampió"
"sub-campionat" "subcampionat"
"Compta amb ((uns )?[0-9\.,]+ (\[?\[?habitants\]?\]?|batejats|\[\[habitant\]\]s|\[\[habitant\|habitants\]\]))" "Té \1" "\"compta amb\" habitants"
"Comptava amb ([0-9\.,]+ (habitants|batejats))" "Tenia \1" "\"comptava amb\" habitants"
"comptava amb ((uns )?[0-9\.,]+ (\[?\[?habitants\]?\]?|batejats|\[\[habitant\]\]s|\[\[habitant\|habitants\]\]))" "tenia \1" "\"comptava amb\" habitants"
"comptava amb ([0-9\.,]+ (\[?\[?habitants\]?\]?|batejats))" "tenia \1" "\"comptava amb\" habitants"
"comptava amb ([0-9\.,]+ (habitants|batejats))" "tenia \1" "\"comptava amb\" batejats"
"Compta amb ([0-9\.,]+ (municipis|cantons))" "Té \1" "\"compta amb\" municipis"
"compta amb ([0-9\.,]+ (municipis|cantons))" "té \1" "\"compta amb\" municipis"
"Compta amb ([0-9\.,]+ (municipis|cantons))" "Té \1" "\"compta amb\" cantons"
"compta amb ([0-9\.,]+ (municipis|cantons))" "té \1" "\"compta amb\" cantons"
"La '''Associació" "L{{'}}'''Associació" "\"la associació\""
"la associació" "l'associació"
"la Associació" "l'Associació"
"La Associació" "L'Associació"
"s'inicies" "s'iniciés"
sustitució substitució
sustitucions substitucions
sustituït substituït
sustituïda substituïda
sustituïdes substituïdes
sustituïts substituïts
començen comencen
Començen Comencen
estatues estàtues
Estatues Estàtues
respón respon
respòn respon
arriven arriben
Arriven Arriben
compromissos compromisos
anal·lisi anàlisi
anàl·lisi anàlisi
Anal·lisi Anàlisi
Anàl·lisi Anàlisi
"\b([Aa]nal)·l(itz.+)\b" "\1\2" "anal·litzar"
"\b([Ee]l)·l(imin.+)\b" "\1\2" "el·liminar"
cadascuns cadascun
"des d'enrere" "des de darrere"
Tennesse Tennessee
Tenessee Tennessee
Tenesse Tennessee
"\b([Ii]nte)n(gr[ae].+)\b" "\1\2" "intengrar"
"l'assembla" "l'assemblea"
"l'Assembla" "l'Assemblea"
"L'assembla" "L'assemblea"
"L'Assembla" "L'Assemblea"
"les assembles" "les assemblees"
"Les assembles" "Les assemblees"
"em aquest" "en aquest"
"em aquesta" "en aquesta"
"em aquests" "en aquests"
"em aquestes" "en aquestes"
"Em aquest" "En aquest"
"Em aquesta" "En aquesta"
"Em aquests" "En aquests"
"Em aquestes" "En aquestes"
"em el" "en el"
"em els" "en els"
"em la" "en la"
"em les" "en les"
"Em el" "En el"
"Em els" "En els"
"Em la" "En la"
"Em les" "En les"
"d'oxígen" "d'oxigen"
"la aliança" "l'aliança"
"la alimentació" "l'alimentació"
"la alineació" "l'alineació"
"la ambaixada" "l'ambaixada"
"la amplada" "l'amplada"
"la amenaça" "l'amenaça"
"la anomenada" "l'anomenada"
"la anàlisi" "l'anàlisi"
"la aparició" "l'aparició"
"la aplicació" "l'aplicació"
"la associació" "l'associació"
"la atenció" "l'atenció"
"la aviació" "l'aviació"
"la edició" "l'edició"
"la edificació" "l'edificació"
"la educació" "l'educació"
"la escola" "l'escola"
"la estació" "l'estació"
"la evolució" "l'evolució"
"la excepció" "l'excepció"
"la experiència" "l'experiència"
"la explosió" "l'explosió"
"la obligació" "l'obligació"
"la ocasió" "l'ocasió"
"la ocupació" "l'ocupació"
"la onzena" "l'onzena"
"la opció" "l'opció"
"la operació "l'operació"
"la opinió" "l'opinió"
"la oposició" "l'oposició"
"la àvia" "l'àvia"
"càmera autonòmica" "cambra autonòmica"
"Càmera autonòmica" "Cambra autonòmica"
"càmera alta" "cambra alta"
"càmera baixa" "cambra baixa"
provè prové
"les cambres de final" "els quarts de final"
"cambres de final" "quarts de final"
"seva seva" "seva"
vafer "va fer"
contarestar contrarestar
"d'antel·lació" "d'antelació"
perillosses perilloses
perillossos perillosos
"així como" "així com"
"s'instala" "s'instal·la"
ambdos ambdós
Ambdos Ambdós
"\b([Ss]ub)(titu[íïeic].+)\b" "\1s\2" "subtituir"
Famíl·lia Família
famíl·lia família
distingueixen distingeixen
distingueix distingeix
surtís sortís
surtissin sortissin
pòl·len pol·len
Pòl·len Pol·len
caçes caces
Caçces Caces
necessitaben necessitaven
"un promig de" "una mitjana de"
"No obstant açò" "No obstant això"
"no obstant açò" "no obstant això"
"Estafis Square" "Times Square"
"New York Estafis" "New York Times"
"Estafis Books" "Times Books"
"com les quals" "com les que"
"com els quals" "com els que"
"com la qual" "com la que"
"com el qual" "com el que"
poseïa posseïa
Poseïa Posseïa
poseïen posseïen
Poseïen Posseïen
poseeix posseeix
Poseeix Posseeix
poseeixen posseeixen
Poseeixen Posseeixen
"a \[\[[Ee]l Vendrell\]\]" "al [[El Vendrell|Vendrell]]" "\"a el Vendrell\""
"d'\[\[[Ee]l Vendrell\]\]" "del [[El Vendrell|Vendrell]]" "\"d'el Vendrell\""
"Enllaços externes" "Enllaços externs"
"Enllaços externa" "Enllaços externs"
"Enllaços externo" "Enllaços externs"
"Enllaços Extern" "Enllaços externs"
"Enllaço extern" "Enllaços externs"
"mèdul·la" "medul·la"
sometre sotmetre
"cosa semblat" "cosa semblant"
Enlllaços Enllaços
"De dalt abaix" "De dalt a baix"
"De dalt a abaix" "De dalt a baix"
corrés corregués
corressin correguessin
decissivament decisivament
"Cambra de Representats" "Cambra de Representants"
"cambra de Representats" "Cambra de Representants"
"cambra de representats" "Cambra de Representants"
vegé veié
"es col loca" "es col·loca"
erudicció erudició
"l'erudicció" "l'erudició"
desensibilització dessensibilització
sabiesa saviesa
"amb \[\[Estats Units\]\]" "amb els [[Estats Units]]" "\"amb Estats Units\""
"amb Estats Units" "amb els Estats Units"
cal·librar calibrar
possibiltat possibilitat
possiblitats possibilitats
possiblitat possibilitat
exhuberant exuberant
exhuberants exuberants
exhuberància exuberància
tol·lerar tolerar
intol·lerant intolerant
delcaració declaració
delcaracions declaracions
"paral\.lel" "paral·lel"
"paral lel" "paral·lel"
"paral\.lela" "paral·lela"
"paral lela" "paral·lela"
"paral\.lels" "paral·lels"
"paral lels" "paral·lels"
"paral\.leles" "paral·leles"
"paral leles" "paral·leles"
comunment comunament
"\b([Dd]es)(alinitz.*)\b" "\1s\2" "desalinitzar"
"\b([Mm]o)v(ilitz.*)\b" "\1b\2" "movilitzar"
"\b([Ii]mprovi)tz(.*)\b" "\1s\2" "improvitzar"
exècit exèrcit
#"se'n feu" "se'n féu"
titolat titulat
titolada titulada
titolats titulats
titolades titulades
endevant endavant
"pel què fa a" "pel que fa a"
"pel què fa al" "pel que fa al"
"pel què fa als" "pel que fa als"
"Pel què fa a" "Pel que fa a"
"Pel què fa al" "Pel que fa al"
"Pel què fa als" "Pel que fa als"
"estan causats" "són causats"
"estan causades" "són causades"
"Estan causats" "Són causats"
"Estan causades" "Són causades"
"està causat" "és causat"
"està causada" "és causada"
"Està causat" "És causat"
"Està causada" "És causada"
"està considerat" "és considerat"
"està considerada" "és considerada"
"Està considerat" "És considerat"
"Està considerada" "És considerada"
extès estès
extesa estesa
extesos estesos
exteses esteses
"d'extendre" "d'estendre"
beligerant bel·ligerant
beligerants bel·ligerants
seqüencies seqüències
seqüencia seqüència
"versió estesa" "versió ampliada"
"algún tipus" "algun tipus"
"la orientació" "l'orientació"
"direcció contraria" "direcció contrària"
"l'efigie" "l'efígie"
"d'aillar" "d'aïllar"
"l'imatge" "la imatge"
"l'urbanització" "la urbanització"
"l'inscripció" "la inscripció"
"l'utilitzada" "la utilitzada"
"l'unió" "la unió"
convetir convertir
converir convertir
"l'ubicació" "la ubicació"
rebelió "rebel·lió"
Rebelió "Rebel·lió"
rebelions "rebel·lions"
principament principalment
"la cituat" "la ciutat"
"una cituat" "una ciutat"
"altra cituat" "altra ciutat"
caracterítiques característiques
Caracterítiques Característiques
caracterítica característica
caracterísiques característiques
Caracterísiques Característiques
"línia de comandaments" "línia d'ordres"
aborígen aborigen
aborigens aborígens
"l'atmòsfera" "l'atmosfera"
paritr partir
arrenjar arranjar
"Fonts secundaries" "Fonts secundàries"
"Fonts primaries" "Fonts primàries"
Protocolàriament Protocol·làriament
protocolàriament protocol·làriament
Protocolariament Protocol·làriament
protocolariament protocol·làriament
antel·lació antelació
quanitat quantitat
quanitats quantitats
"sota llicencia" "sota llicència"
"sota custodia" "sota custòdia"
escarsans escarsers
escarsà escarser
relament realment
"xarxa vial" "xarxa viària"
"xarxes vials" "xarxes viàries"
"Des d'aleshores ençà" "Des d'aleshores"
"Des de llavors ençà" "Des de llavors"
"del transplant" "del trasplantament"
"al transplant" "al trasplantament"
"el transplant" "el trasplantament"
"El transplant" "El trasplantament"
durader durador
duraders duradors
duraderes duradores
descatable destacable
descatables destacables
"post graduat" "postgraduat"
"post graduats" "postgraduats"
"post-graduat" "postgraduat"
"post-graduats" "postgraduats"
capítul capítol
capítuls capítols
Capítul Capítol
Capítuls Capítols
transplantar trasplantar
transplantaments trasplantaments
transplantament trasplantament
"l'altra costat" "l'altre costat"
"control·la" "controla"
"control·lar" "controlar"
imprimit imprès
imprimits impresos
imprimides impreses
"\b([Rr]econ)(tru.+)\b" "\1s\2" "recontruir"
"\b([Tt]ran)(form.+)\b" "\1s\2" "tranformar"
"0º" "0°"
"360 º" "360°"
sequència seqüència
Sequència Seqüència
sequències seqüències
"es trova" "es troba"
"es troven" "es troben"
"es trobem" "es troben"
movilitat mobilitat
Movilitat Mobilitat
ambdòs ambdós
Ambdòs Ambdós
"km2" "km²"
"entre d'altres coses" "entre altres coses"
"entre d'altres obres" "entre altres obres"
rerapaís rerepaís
"banda ample" "banda ampla"
