"l'individuu" "l'individu"
"cants rodats" "còdols"
"cap a munt" "cap amunt"
"cap el nord" "cap al nord"
"Cap el segle" "Cap al segle"
"Cap els segles" "Cap als segles"
"cap el sud" "cap al sud"
"cap l'est" "cap a l'est"
"cap l'oest" "cap a l'oest"
"cap per abaix" "cap per avall"
caracteristiques característiques
Caracteristiques Característiques
càrnica càrnia
càrnic carni
càrnics carnis
càrniques càrnies
càrreg càrrec
"cas en que" "cas en què"
cassos casos
"Castella-Lleó" "Castella i Lleó"
cel·lebrà celebrà
cel·lebració celebració
cel·lebracions celebracions
cel·lebrada celebrada
cel·lebrades celebrades
cel·lebrar celebrar
cel·lebraren celebraren
cel·lebrat celebrat
cel·lebrats celebrats
"cèl·lula cancerígena" "cèl·lula cancerosa"
"cèl·lules cancerígenes" "cèl·lules canceroses"
ceremònia cerimònia
Ceremònia Cerimònia
ceremònies cerimònies
Ceremònies Cerimònies
cèrvol cérvol
Cèrvol Cérvol
cèrvols cérvols
cesat cessat
ciéncia ciència
Ciéncia Ciència
"ciència ficció" "ciència-ficció"
"Ciència ficció" "Ciència-ficció"
ciéncies ciències
Ciéncies Ciències
"cinc cent" "cinc-cents"
"cinc-cent" "cinc-cents"
cinccents "cinc-cents"
"cinquanta-cint" "cinquanta-cinc"
cinquentena cinquantena
"cint-i-vuit" "vint-i-vuit"
"circumstància en la que" "circumstància en què"
"circumstància en que" "circumstància en què"
"circumstàncies en les que" "circumstàncies en què"
"circumstàncies en que" "circumstàncies en què"
"ciutats costeres" "ciutats costaneres"
"ciutats limítrofs" "ciutats limítrofes"
claretat claredat
Claretat Claredat
clàsica clàssica
clàsic clàssic
clàsics clàssics
clasificació classificació
clasificacions classificacions
clàsiques clàssiques
classifiació classificació 
classifiacions classificacions 
coal·lició coalició
coal·licions coalicions
"coincidir en què" "coincidir que"
colaboració col·laboració
Colaboració Col·laboració
colaboracions col·laboracions
Colaboracions Col·laboracions
colaborà col·laborà
Colaborà Col·laborà
colaboraren col·laboraren
Colaboraren Col·laboraren
colecció col·lecció
Colecció Col·lecció
coleccions col·leccions
Coleccions Col·leccions
colectiu col·lectiu
colectius col·lectius
colectives col·lectives
colisió col·lisió
colisions col·lisions
"col·laboració mútua" "col·laboració"
"col lapse" "col·lapse"
"col•lapse" "col·lapse"
"col lectiva" "col·lectiva"
"col.lectiva" "col·lectiva"
"col•lectiva" "col·lectiva"
"col lega" "col·lega"
"col legi" "col·legi"
"col•legi" "col·legi"
"Col•legi" "Col·legi"
"col legis" "col·legis"
"col•legis" "col·legis"
"col legues" "col·legues"
coll·lboració col·laboració
colocació col·locació
colocacions col·locacions
colocà col·locà
colocades col·locades
colocaren col·locaren
colocat col·locat
colocats col·locats
"com a lider" "com a líder"
comandamnt comandament
"comarques limítrofs" "comarques limítrofes"
"començ\+a" "començà"
comencament començament
"com millor actor" "com a millor actor"
"com millor actriu" "com a millor actriu"
compareixer comparèixer
"competivitat" "competitivitat"
"Competivitat" "Competitivitat"
composa compon
composà compongué
Composà Compongué
composada composta
composades compostes
composadora componedora
composador componedor
composadores componedores
composadors componedors
composant component
composarà compondrà
composaran compondran
"composar-lo" "compondre'l"
"composar-ne" "compondre'n"
"composar-se" "compondre's"
composar compondre
composaren compongueren
composat compost
composats composts
composava componia
composaven componien
composem componem
composen componen
composi compongui
composin componguin
compossició composició
Compossició Composició
conciència consciència
conciències consciències
concient conscient
concients conscients
conectades connectades
conectat connectat
conectats connectats
coneixament coneixement
coneixaments coneixements
coneixemnt coneixement
coneixer conèixer
coneixi conegui
coneiximent coneixement
coneiximents coneixements
coneixin coneguin
conexió connexió
conexions connexions
confòs confós
confundadora cofundadora
confundador cofundador
confundadores cofundadores
confundadors cofundadors
confundit confós
confundits confosos
cònjugue cònjuge
Cònjugue Cònjuge
cònjugues cònjuges
Cònjugues Cònjuges
conjuntamemt conjuntament
conjuntamnet conjuntament
conmemoració commemoració
conmemoracions commemoracions
conmemorà commemorà
connecció connexió 
conneccions connexions
"connexions vials" "connexions viàries"
"Connexions vials" "Connexions viàries"
#conreable cultivable
#conreables cultivables
conrreu conreu
conrreus conreus
conseguí aconseguí
Conseguí Aconseguí
conseguiren aconseguiren
Conseguiren Aconseguiren
conseguit aconseguit
conseguits aconseguits
conseqüencia conseqüència
consequència conseqüència
conseqüencies conseqüències
Conseqüencies Conseqüències
consequències conseqüències
conservadurisme conservadorisme
Conservadurisme Conservadorisme
cónsol cònsol
constament constantment
constanment constantment
cònsul cònsol
cònsuls cònsols
contè conté
Contè Conté
contigues contigües
contigut contingut
Contigut Contingut
contiguts continguts
Contiguts Continguts
continuitat continuïtat
continuitats continuïtats
contrassenya contrasenya
Contrassenya Contrasenya
contrassenyes contrasenyes
Contrassenyes Contrasenyes
contrucció construcció
contruccions construccions
conviccio convicció
còrner córner
Còrner Córner
còrrer córrer
correspón correspon
Correspón Correspon
correspòn correspon
Correspòn Correspon
corretgir corregir
cosos cossos
Cosos Cossos
cossac cosac
cossacs cosacs
"costat esquerra" "costat esquerre"
"Costat esquerra" "Costat esquerre"
costipat constipat
costipats constipats
coverta coberta
covertes cobertes
coverts coberts
creixament creixement
creixemnet creixement
creixemnt creixement
creixer créixer
crèixer créixer
creiximent creixement
creuamemnt creuament
cristalitza cristal·litza
cristalitzà cristal·litzà
cristalitzada cristal·litzada
cristalitzades cristal·litzades
cristalitzar cristal·litzar
cristalitzar cristal·litzar
cristalitzat cristal·litzat
cristalitzats cristal·litzats
cuadrúpeds quadrúpedes
"curt plaç" "curt termini"
"d'a bord" "de bord"
"d'accès" "d'accés"
"Daltra banda" "D'altra banda"
"d'altre banda" "d'altra banda"
"D'altre banda" "D'altra banda"
"d'apariència" "d'aparença"
"d'a prop" "de prop"
"d'aprop" "de prop"
"d'aquella época" "d'aquella època"
"d' aquesta" "d'aquesta"
daquesta "d'aquesta"
"d'aquesta época" "d'aquesta època"
"d' aquest" "d'aquest"
daquest "d'aquest"
"d' aquestes" "d'aquestes"
daquestes "d'aquestes"
"d'aquest espècie" "d'aquesta espècie"
"d' aquestos" "d'aquests"
daquestos "d'aquests"
"d' aquests" "d'aquests"
daquests "d'aquests"
"d'aqueta" "d'aquesta"
"d’aqueta" "d'aquesta"
"d'aquet" "d'aquest"
"d’aquet" "d'aquest"
"d'aquetes" "d'aquestes"
"d’aquetes" "d'aquestes"
"d'aquetos" "d'aquests"
"d’aquetos" "d'aquests"
"d'aquets" "d'aquests"
"d'aquets" "d'aquests"
"d’aquets" "d'aquests"
"data en que" "data en què"
"d'atravessar" "de travessar"
"d'atres" "d'altres"
"D'atres" "D'altres"
"d'auqest" "d'aquest"
"davant daixò" "davant d'això"
"d'avantmà" "de bestreta"
ddel del
ddels dels
"de aconseguir" "d'aconseguir"
"década dels" "dècada dels"
décades dècades
"de caire" "de caràcter"
"de carrega" "de càrrega"
deceni decenni
decenis decennis
decició decisió
decicions decisions
"decisions presses" "decisions preses"
decissiu decisiu
decissius decisius
decissiva decisiva
decissives decisives
decliu declivi
decobrir descobrir
decreixer decréixer
decrèixer decréixer
"decrets lleis" "decrets llei"
"decrets-lleis" "decrets llei"
"de equacions" "d'equacions"
deesa deessa
Deesa Deessa
deeses deesses
Deeses Deesses
"de Espanya" "d'Espanya"
"Degut a que" "Com que"
dèia deia
"del avió" "de l'avió"
"del darrera" "del darrere"
"del edifici" "de l'edifici"
"de les afores" "dels afores"
"del esmentat" "de l'esmentat"
"del estat" "de l'estat" 
"del Estat" "de l'Estat" 
"del Estats Units" "dels Estats Units"
"del est" "de l'est"
"del individu" "de l'individu"
"del inici" "de l'inici"
"del interval" "de l'interval"
"d'èlit" "d'elit"
"del l'any" "de l'any"
"del lider" "del líder"
"del màxim esplendor" "de la màxima esplendor"
"del oest" "de l'oest"
"del ordre" "de l'ordre"
"del països" "dels països"
"del procès" "del procés"
"del procès" "del procés"
"dels complexes" "dels complexos"
"dels cuals" "dels quals"
"dels dècada" "de la dècada"
"del seu màxim esplendor" "de la seva màxima esplendor"
"dels índex" "dels índexs"
"de mateix nom" "del mateix nom"
"de màxim esplendor" "de màxima esplendor"
depen depèn
Depen Depèn
desapareixer desaparèixer
desapareixi desaparegui
desapareixin desapareguin
desaventatge desavantatge
Desaventatge Desavantatge
desaventatges desavantatges
Desaventatges Desavantatges
descendets descendents
descobriemnt descobriment
descomposada descomposta
descomposa descompon
descomposa descompon
descomposadora descomponedora
descomposador descomponedor
descomposadores descomponedores
descomposadors descomponedors
descomposant descomponent
descomposarà descompondrà
descomposaran descompondran
descomposar descompondre
"descomposar-lo" "descompondre'l"
"descomposar-ne" "descompondre'n"
"descomposar-se" "descompondre's"
descomposat descompost
Descomposat Descompost
descomposats descomposts
descomposava descomponia
descomposaven descomponien
descomposem descomponem
descomposen descomponen
descomposin descomponguin
desconeixer desconèixer
descoverta descoberta
descovert descobert
descovertes descobertes
descoverts descoberts
describint descrivint
descubreix descobreix
descubreixen descobreixen
descubriren descobriren
"de sde" "des de"
"des de el" "des del"
"Des de el" "Des del"
"des de els" "des dels"
"Des de els" "Des dels"
"des de una" "des d'una"
"Des de una" "Des d'una"
"des de un" "des d'un"
"Des de un" "Des d'un"
"des de unes" "des d'unes"
"Des de unes" "Des d'unes"
"des de uns" "des d'uns"
"Des de uns" "Des d'uns"
deseguida "de seguida"
desembarcamnet desembarcament
desemebre desembre
desició decisió
desició decisió
desicions decisions
desmereixer desmerèixer
"d'especies" "d'espècies"
"d'especimen" "d'espècimen"
"d'especimens" "d'espècimens"
"d'especímens" "d'espècimens"
despren desprèn 
Despren Desprèn
"després daixò" "després d'això"
"Després daixò" "Després d'això"
"Desprès d'això" "Després d'això"
"Despré sde" "Després de"
"Desprès de" "Després de"
"Desprès del" "Després del"
"Desprès dels" "Després dels"
"després de que" "després que"
"Després de que" "Després que"
despres després
"d'espressió" "d'expressió"
"des què" "des que"
"Des què" "Des que"
desrés després
Desrés Després
desseguida "de seguida"
Desseguida "De seguida"
dessig desig
dessigs desigs
dessitjos desitjos
"d'estàndars" "d'estàndards"
"de unes" "d'unes"
"de uns" "d'uns"
"d'evaluar" "d'avaluar"
"de vegada en quan" "de tant en tant"
"De vegada en quan" "De tant en tant"
devegades "de vegades"
"d'exilar" "d'exiliar"
"d'exil·liar" "d'exiliar"
"d'exit" "d'èxit"
"d'éxit" "d'èxit"
"d'éxits" "d'èxits"
"d'Hausburg" "d'Habsburg"
"d'Huelva" "de Huelva"
diagnòsi diagnosi
diametre diàmetre
dictàmen dictamen
dictamens dictàmens
dieuen diuen
"diferpencia" "diferència"
"diferpencies" "diferències"
difòs difós
diguè digué
Diguè Digué
diguès digués
"d'improvització" "d'improvisació"
"d'indentitat" "d'identitat"
dinosauri dinosaure
Dinosauri Dinosaure
dinosauris dinosaures
Dinosauris Dinosaures
"d'instalació" "d'instal·lació"
"d'instalacions" "d'instal·lacions"
"d'instalar" "d'instal·lar"
"directa o indirectament" "directament o indirecta"
dirgida dirigida
dirgides dirigides
dirgí dirigí
dirgir dirigir
dirgit dirigit
dirgits dirigits
discontinuitat discontinuïtat
discontinuitats discontinuïtats
discorrés discorregués
diseny disseny
#Diseny Disseny
disenys dissenys
Disenys Dissenys
disgressió digressió
disgressions digressions
disol dissol
disoldre dissoldre
"disoldre'l" "dissoldre'l"
disolent dissolent
"disolent-se" "dissolent-se"
disolució dissolució
disolucions dissolucions
disolut dissolut
disoluts dissoluts
disponiblitat disponibilitat
Disponiblitat Disponibilitat
dissolguent dissolent
dissuasòria dissuasiva
dissuasori dissuasiu
dissuasòries dissuasives
dissuasoris dissuasius
disuadí dissuadí
disuadiren dissuadiren
"disuadit" "dissuadit"
divertimemt divertiment
divesos diversos
docns doncs
docuemnt document
"dóna a un patí" "dóna a un pati"
"dona lloc" "dóna lloc"
"Dona lloc" "Dóna lloc"
"dona nom" "dóna nom"
"Dona nom" "Dóna nom"
"donar la volta al món" "fer la volta al món"
"donar passes" "fer passes"
"donar passos" "fer passos"
"donar una passa" "fer una passa"
"donar un pas" "fer un pas"
"donar un salt" "fer un salt"
"donà un pas" "féu un pas"
"Donà un pas" "Féu un pas"
"donà un salt" "féu un salt"
"Donà un salt" "Féu un salt"
donçs doncs
dónen donen
"d'orígen" "d'origen"
"D'orígen" "D'origen"
"d'origens" "d'orígens"
"D'origens" "D'orígens"
"dos cent" "dos-cents"
"dos-cent" "dos-cents"
doscents "dos-cents"
"d'questa" "d'aquesta"
"d'quest" "d'aquest"
"d'questes" "d'aquestes"
"d'questos" "d'aquests"
"d'quests" "d'aquests"
"dreta i esquerre" "dreta i esquerra"
"dubte de que" "dubte que"
"dubtes de que" "dubtes que"
duguè dugué
Duguè Dugué
duguès dugués
"d¡una" "d'una"
"d' una" "d'una"
"d'una época" "d'una època"
"d'un àrea" "d'una àrea"
"d'un arrel" "d'una arrel"
"d¡un" "d'un"
"d' un" "d'un"
"dunes costeres" "dunes costaneres"
"d¡unes" "d'unes"
"d' unes" "d'unes"
"d¡uns" "d'uns"
"d' uns" "d'uns"
durnat durant
Durnat Durant
"d'us" "d'ús"
eclosionen "es desclouen"
ecònomica econòmica
econòmicamnet econòmicament
ecònomic econòmic
ecònomics econòmics
ecònomiques econòmiques
edfici edifici
Edfici Edifici
edifci edifici
Edifci Edifici
"edifici annexe" "edifici annex"
"edificis annexes" "edificis annexos"
egues egües
"eïna" "eina"
elapè elapé
elapès elapés
"el casos" "els casos"
"El casos" "Els casos"
"el complexe" "el complex"
eligir elegir
eligit elegit
elíptic el·líptic
elíptics el·líptics
elíptiques el·líptiques
èlit elit
Èlit Elit
èlits elits
Èlits Elits
el·lectoral electoral
el·lectorals electorals
"el lider" "el líder"
"el màxim esplendor" "la màxima esplendor"
"el països" "els països"
"el proces" "el procés"
"El proces" "El procés"
"el procès" "el procés"
"El procès" "El procés"
"el progrès" "el progrés"
"El que si és cert és que" "El que sí que és cert és que"
"El que sí és cert és que" "El que sí que és cert és que"
"els casos en que" "els casos en què"
"els complexes" "els complexos"
"Els complexes" "Els complexos"
"els cuals" "els quals"
"els cultivars" "les cultivars"
"Els cultivars" "Les cultivars"
"els dècada" "la dècada"
"el seu el seu" "el seu"
"el seu màxim esplendor" "la seva màxima esplendor"
"els índex" "els índexs"
"els municipi" "els municipis"
"Els municipi" "Els municipis"
"els ordenadors" "els ordinadors"
"el únic" "l'únic"
embaixada ambaixada
Embaixada Ambaixada
embaixades ambaixades
Embaixades Ambaixades
emntre mentre
emocionalemnt emocionalment
"empren el seu viatge" "emprèn el seu viatge"
"empren un viatge" "emprèn un viatge"
"en anterioritat" "amb anterioritat"
"En anterioritat" "Amb anterioritat"
"encarà que" "encara que"
"Encarà que" "Encara que"
encèn encén
encuadernació enquadernació
encuadernacions enquadernacions
endarrera endarrere
Endarrera Endarrere
"en el any" "en l'any"
"En el any" "En l'any"
"en el edifici" "en l'edifici"
"En el edifici" "En l'edifici"
"en en el" "en el"
"en en els" "en els"
"en en la" "en la"
"en en les" "en les"
enèssima enèsima
enèssim enèsim
enfermetat malaltia
enfermetats malalties
enfoc enfocament
Enfoc Enfocament
"en linia" "en línia"
"En linia" "En línia"
"Enllaço externs" "Enllaços externs"
Enllacos Enllaços
"Enllaços esterns" "Enllaços externs"
"Enllaços extern" "Enllaços externs"
"Enllaços externos" "Enllaços externs"
"Enllaços externs s" "Enllaços externs"
"Enllaçs externs" "Enllaços externs"
"Enlla\+os externs" "Enllaços externs"
ennuig enuig
"en odre" "en ordre"
enormememt enormement
"en posterioritat" "amb posterioritat"
"en posterioritat" "amb posterioritat"
"En posterioritat" "Amb posterioritat"
enregistramnet enregistrament
enrera enrere
Enrera Enrere
enrrera enrere
enrrere enrere
"ens atenem a" "ens atenim a"
"ens atenem al" "ens atenim al"
"ens atenem als" "ens atenim als"
"en sí mateixa" "en si mateixa"
"en sí mateix" "en si mateix"
"en sí mateixes" "en si mateixes"
"en sí mateixos" "en si mateixos"
entèn entén
"entre parèntesi" "entre parèntesis"
"entre parèntesi" "entre parèntesis"
"Entre parèntesi" "Entre parèntesis"
enverinemnt enverinament
"època en la que" "època en què"
"època en la què" "època en què"
"època en que" "època en què"
"època en que" "època en què"
eqüació equació
eqüacions equacions
equinoci equinocci
Equinoci Equinocci
equinocis equinoccis
éren eren
Éren Eren
errònea errònia
erròniamnet erròniament
"es a dir" "és a dir"
"Es a dir" "És a dir"
"és adir" "és a dir"
escany escó
escanys escons
"es caracteritza per que" "es caracteritza pel fet que"
"Es caracteritza per que" "Es caracteritza pel fet que"
"es caracteritza per què" "es caracteritza pel fet que"
"es caracteritza perquè" "es caracteritza pel fet que"
"Es caracteritza per què" "Es caracteritza pel fet que"
"Es caracteritza perquè" "Es caracteritza pel fet que"
"es caracteritzava per que" "es caracteritzava pel fet que"
"Es caracteritzava per que" "Es caracteritzava pel fet que"
"es caracteritzava per què" "es caracteritzava pel fet que"
"es caracteritzava perquè" "es caracteritzava pel fet que"
"Es caracteritzava per què" "Es caracteritzava pel fet que"
"Es caracteritzava perquè" "Es caracteritzava pel fet que"
"es caracteritzaven per que" "es caracteritzaven pel fet que"
"Es caracteritzaven per que" "Es caracteritzaven pel fet que"
"es caracteritzaven per què" "es caracteritzaven pel fet que"
"es caracteritzaven perquè" "es caracteritzaven pel fet que"
"Es caracteritzaven per què" "Es caracteritzaven pel fet que"
"Es caracteritzaven perquè" "Es caracteritzaven pel fet que"
"es caracteritzen per que" "es caracteritzen pel fet que"
"Es caracteritzen per que" "Es caracteritzen pel fet que"
"es caracteritzen per què" "es caracteritzen pel fet que"
"es caracteritzen perquè" "es caracteritzen pel fet que"
"Es caracteritzen per què" "Es caracteritzen pel fet que"
"Es caracteritzen perquè" "Es caracteritzen pel fet que"
escarcer escarser
escarcers escarsers
escases escasses
escasetat escassetat
esciure escriure
escolleixen escullen
escolleix escull
escribint escrivint
escrire escriure
escrti escrit
escruire escriure
escrure escriure
"és degut a que" "és degut al fet que"
"es deu a que" "es deu al fet que"
"es devia a que" "es devia al fet que"
esdevinguè esdevingué
Esdevinguè Esdevingué
esdevinguès esdevingués
esencialment essencialment
Esencialment Essencialment
"ës" "És"
"Ës" "És"
"és escasa" "és escassa"
"es fà" "es fa"
"es fagi" "es faci"
"es fagin" "es facin"
"és fa servir" "es fa servir"
"És fa servir" "Es fa servir"
"és lider" "és líder"
esmemt esment
"es nomenada" "és nomenada"
"Es nomenada" "És nomenada"
